click_hotel_index_pv,click_hotel_index_search_pv,click_hotel_detail_pv,click_travel_index_pv,click_travel_index_search_pv,click_travel_index_pie_pv,click_travel_pre_order_pv,click_travel_detail_pv,page_cnt,launch_cnt,loc_mdd_duration,hotel_detail_pv,travel_detail_pv,long_sum_duration,long_max_duration,long_avg_duration,short_sum_duration,short_max_duration,short_avg_duration,poi_sum_duration,poi_max_duration,poi_avg_duration,hotel_sum_duration,hotel_max_duration,hotel_avg_duration,travel_sum_duration,travel_max_duration,travel_avg_duration
0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,8,4,0,0,1,243.626278,243.626278,243.626278,0,0,0,0,0,0,0,0,0,72.288164,72.288164,72.288164
0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,151.566754,48.613795,30.3133508,0,0,0,0,0,0
0,0,0,0,0,0,0,0,16,3,0,5,0,0,0,0,70.876392,70.876392,70.876392,0,0,0,105.684834,49.669798,21.1369668,0,0,0
0,0,0,0,0,0,0,0,10,8,0,0,0,69.444,69.444,69.444,1.603,1.603,1.603,8.207,8.207,8.207,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,5,0,0,0,224.179192,90.035233,24.90879911,89.879081,89.879081,75.09486667,16.334033,8.262403,5.444677667,0,0,0,0,0,0
0,0,1,0,0,0,0,0,13,6,0,2,1,14.121,8.557,4.707,0,0,0,89.182,21.838,11.14775,9.134,7.623,4.567,4.021,4.021,4.021
8,0,17,0,0,0,0,0,18,1,0,9,0,27.086433,13.962382,13.5432165,0,0,0,0,0,0,167.271924,58.127816,18.58576933,0,0,0
0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,166.806,71.455,33.3612,22.384,20.956,11.192,0,0,0,0,0,0
0,0,0,0,0,0,0,0,16,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,70.588,60.721,23.52933333
0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,10,2,0,0,6,268.052145,198.08776,134.0260725,0,0,0,0,0,0,0,0,0,170.722217,91.900976,28.45370283
0,0,0,2,0,0,2,9,23,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,264.346,59.346,16.521625
0,0,0,0,0,0,0,0,24,4,0,0,5,0,0,0,0,0,0,36.932898,23.208834,18.466449,0,0,0,39.721169,11.523602,7.9442338
0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,368.418,68.053,28.33984615,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,2,0,0,0,370.024006,164.085548,92.5060015,0,0,0,0,0,0,0,0,0,0,0,0
