duration,launch_cnt
8.145853,1
786.402,4
251.466,3
798.352,11
2385.348363,27
69.736,5
1401.423,31
737.027079,2
419.427,5
539.896227,1
51.182,1
687.957407,3
307.448042,6
551.393374,4
136.523874,2
376.662441,1
65.165,1
21.088728,1
2.296,2
288.346,2
210.645,4
1571.443911,11
267.072,3
461.246018,10
2213.384783,13
325.456,3
491.88,2
662.658,12
596.584,6
146.018807,3
738.739935,7
1451.946604,5
341.847434,3
598.215582,4
170.011608,1
818.397,4
804.885872,21
64.034,1
501.046104,6
246.542,1
34.402,3
288.219855,3
1994.987,2
173.292666,4
433.53,1
305.989,3
39.491,3
232.688704,2
303.175551,2
344.872091,4
4211.075,34
4341.091066,24
0.062,1
714.897658,19
313.157,4
128.904466,1
26.951779,2
154.815804,1
19.858842,5
49.728,1
46.089404,1
187.084,2
124.24,1
1344.873,17
314.833304,4
89.758173,1
121.368691,3
16.275697,1
706.191726,9
1278.57898,1
92.982656,1
0.223,1
1143.301,1
4924.706644,13
0.069,1
765.768165,5
2875.199,7
271.049,2
1536.511,3
545.996071,1
125.126,2
1821.724,12
33.426787,2
4.146,2
375.4,7
774.028,7
2276.225,2
3249.168,7
248.515967,3
279.493308,4
441.313412,2
68.010357,1
798.658,18
1311.880436,5
596.607599,1
694.095,4
594.998791,1
306.48822,3
187.189839,2
1420.187,7
1078.213,6
410.942,3
262.663508,1
127.982254,4
18.518,1
23.524,2
55.205952,2
38.701,1
1496.413,10
374.023,10
364.115,5
906.841981,1
69.392405,3
209.681,1
517.255,6
23.942724,1
2528.053,34
194.619,1
25.038,2
223.893632,4
1857.780474,4
2875.460971,27
1057.542441,3
52.758,1
12.444,1
176.194871,2
1189.546843,6
111.049561,7
40.418,1
148.494,5
2076.879,9
1685.512942,2
659.882117,5
488.130845,7
756.036,1
163.271,8
612.313552,11
2722.850034,14
385.953376,12
4.388385,1
302.651,3
546.938,1
31.494,2
313.60129,2
3144.918465,11
189.788472,1
684.873872,3
95.035534,1
74.064091,2
716.652986,6
333.659,6
1052.677873,9
411.533,2
288.908092,2
163.194,1
323.72,6
278.357302,2
0.221,1
36.631552,1
1621.364839,8
160.265,3
3831.075362,10
213.474628,7
78.035198,2
4924.706644,20
154.033,1
234.032,4
305.576112,1
248.636717,2
75.067,3
335.946493,1
152.334996,2
2041.857673,2
3640.582,3
6.404,1
19.158,3
559.121431,1
1282.447195,7
286.694179,3
635.158102,5
16.107,1
4924.706644,23
450.505735,4
1164.747356,12
473.644695,6
338.824532,1
0.118,1
8.426,4
265.056,2
276.669773,3
0.559,2
784.475,16
2195.552,6
21.870045,1
200.621,5
2732.494394,8
95.909888,3
279.005529,3
141.992,3
881.859376,3
797.8032,10
2151.725,3
351.02855,1
586.555,2
3450.229,6
474.459853,10
155.448,1
158.287,4
36.683996,1
129.885073,2
4924.706644,11
20.482592,3
33.171742,1
154.919,1
850.403,16
38.381,1
179.544755,2
1127.594831,8
134.94,1
9.242,1
998.473,1
493.664,3
867.068976,8
1070.626,4
180.234219,4
60.097,2
238.167601,2
187.613,3
92.015,1
104.181552,1
4447.475648,12
199.831,4
2387.726,8
213.69499,2
87.595,1
85.389,3
68.825662,1
174.34198,2
261.793,1
361.575,3
177.176,1
65.807507,1
115.108516,2
2252.975,7
3366.218107,34
1002.334683,34
145.297367,1
44.80333,6
385.558,4
5.60522,1
108.124755,3
214.546611,3
180.81466,4
343.952463,4
19.18,2
2479.784294,11
177.790954,4
103.2,1
89.725765,3
290.631,1
286.304,8
347.030207,5
801.339,7
66.977,2
68.442216,1
620.953,7
141.283389,2
318.435,2
6.043712,1
1618.146666,7
250.307,3
45.945751,1
57.344,1
2115.418,15
2.705,1
751.205501,1
252.665,5
269.433752,3
1270.278418,5
687.788918,6
263.054563,6
968.514,3
101.753,7
712.857,3
528.198,1
622.224,15
0.185,2
1582.335,9
976.322,1
5.269946,1
523.823,1
1367.256398,9
231.405,6
327.742,2
452.668355,2
185.341109,3
812.84,1
337.236,3
6.816,2
157.71665,3
165.103145,4
1985.976,5
225.145,1
173.913,4
43.81094,2
3613.720091,13
136.082647,1
1169.449253,4
434.821397,6
183.974645,1
4.458,2
4312.696,18
218.832772,3
330.881,4
470.002321,3
398.831446,1
13.277679,1
197.475,2
115.952036,1
80.565768,2
499.738,18
962.996642,8
704.906184,9
472.842,5
1578.882167,11
599.391,10
351.966773,4
757.275,2
294.820178,2
119.093,1
573.969,1
351.634,5
479.288852,1
1563.997839,4
569.85052,4
251.060371,1
609.546,9
8.449,2
109.474255,1
334.459,3
72.041,1
446.358579,4
906.054214,34
982.339,1
87.307667,10
513.221885,3
807.756,8
154.973631,5
4247.239,16
139.454886,1
378.575,2
320.581,1
736.485,1
1578.541,3
262.756114,5
233.349,1
184.60501,2
432.35,5
24.84,2
369.779,4
187.521105,3
204.836277,4
923.263,4
518.67136,1
727.285,4
577.530753,1
915.15538,1
914.918313,14
199.605,2
310.378,3
1746.313169,4
113.887,3
267.851,4
43.213216,13
103.557852,2
49.03,2
391.58059,3
202.307,3
367.506542,6
1229.583,7
566.303696,3
4282.273331,16
31.479,1
0.064,1
162.553,2
63.568349,1
22.339823,1
155.985336,5
150.702408,2
933.950921,5
386.835451,1
1075.054387,2
1045.267823,3
78.455896,2
97.531789,2
526.148,14
810.728,3
934.892,2
2810.682975,10
60.656405,3
306.12398,1
814.577,12
4.442,1
298.675,2
18.034268,2
147.518,1
19.262,1
168.788893,1
262.575,1
154.704,2
1191.64,3
1873.459557,34
621.964,2
236.695,6
189.322231,3
1064.975119,6
347.021635,6
632,1
94.383,1
796.823,3
1151.026,7
2493.283,19
273.300536,1
314.022,4
141.351,2
1838.634,33
2688.769,6
664.232183,13
111.132,2
133.697131,1
0.036,1
