date,close,volume,open,high,low
2018/08/31,226.4800,2017228.0000,221.7100,226.8700,221.2700
2018/08/30,224.2500,2350238.0000,224.7800,227.5000,222.5500
2018/08/29,225.8700,1452304.0000,225.8500,226.8500,223.8910
2018/08/28,225.7200,2188179.0000,229.7000,230.8400,224.7010
2018/08/27,228.6100,3106532.0000,228.3900,231.3900,227.7650
2018/08/24,224.3600,2812308.0000,221.4000,225.0900,220.8200
2018/08/23,219.3000,2900816.0000,224.2700,224.9700,218.9300
2018/08/22,223.0300,1733470.0000,223.2000,226.1700,222.1510
2018/08/21,223.1300,2278755.0000,225.7700,226.2790,222.4200
2018/08/20,223.7100,3224782.0000,224.7000,226.3700,220.9700
2018/08/17,222.6700,5495422.0000,221.0000,225.0690,217.0886
2018/08/16,217.3000,4334911.0000,216.1200,221.4000,215.4866
2018/08/15,213.4700,4259618.0000,211.3700,214.1500,207.9500
2018/08/14,216.2100,3193416.0000,218.3300,218.3700,213.6700
2018/08/13,217.5700,2500360.0000,220.0100,220.1750,216.4050
2018/08/10,220.1000,3350954.0000,217.5000,221.9100,216.5100
2018/08/09,219.8900,3509814.0000,223.3600,223.7200,219.6000
2018/08/08,222.0000,5159775.0000,226.9900,226.9900,221.2800
2018/08/07,226.6700,7888399.0000,228.3620,230.2500,224.2600
2018/08/06,232.9600,3698953.0000,234.1100,235.8000,230.0600
2018/08/03,235.6500,5832522.0000,235.0000,237.5000,230.8400
2018/08/02,230.4600,6593328.0000,230.5600,231.5000,226.2100
2018/08/01,228.0700,13983840.0000,234.9900,237.7200,226.6388
2018/07/31,247.1800,4258715.0000,253.8400,255.9400,245.5300
2018/07/30,251.4000,2549052.0000,256.4900,257.3100,248.3000
2018/07/27,255.0900,2310206.0000,262.6300,262.9600,251.8279
2018/07/26,260.3500,2059399.0000,259.8200,263.6323,257.6800
2018/07/25,262.9100,2639315.0000,256.4100,263.7000,256.4100
2018/07/24,256.4800,2748471.0000,265.3100,265.7300,255.1000
2018/07/23,260.3800,1702555.0000,257.8900,261.0950,257.1800
2018/07/20,259.9800,2213180.0000,263.3600,265.2100,259.9600
2018/07/19,262.4200,2376513.0000,266.7300,267.3000,261.9300
2018/07/18,269.4200,2036585.0000,268.9000,270.0900,264.5000
